,Moles Fractions of species,Mass flow rate (kg/s),Density (kg/m3),Inlet Length (mm),Temperature (K),Pressure (Pa),Dynamic Viscosity (kg/(m.s)),Kinematic Viscosity (m2/s)
Inlet-Air,"X_O2=0.21,     X_N2=0.79",0.0005615,0.63033,36.4,560,101325,0.000028821,0.000045723
Inlet-fuel,X_H2=1,0.00000654439,0.0894,15,300,101325,0.00000892,0.0000997
